Chromosome	ChromStart	ChromEnd	Band	Stain
20	0	5100000	p13	gneg
20	5100001	9200000	p12.3	gpos
20	9200001	12000000	p12.2	gneg
20	12000001	17900000	p12.1	gpos
20	17900001	21300000	p11.23	gneg
20	21300001	22300000	p11.22	gpos
20	22300001	25700000	p11.21	gneg
20	25700001	28100000	p11.1	acen
20	28100001	30400000	q11.1	acen
20	30400001	33500000	q11.21	gneg
20	33500001	35800000	q11.22	gpos
20	35800001	39000000	q11.23	gneg
20	39000001	43100000	q12	gpos
20	43100001	43500000	q13.11	gneg
20	43500001	47800000	q13.12	gpos
20	47800001	51200000	q13.13	gneg
20	51200001	56400000	q13.2	gpos
20	56400001	57800000	q13.31	gneg
20	57800001	59700000	q13.32	gpos
20	59700001	64444167	q13.33	gneg
