Gene stable ID	Gene start (bp)	Gene end (bp)	Strand	GOSlim GOA Accession(s)	GOSlim GOA Description	HGNC symbol
ENSG00000249139	44165625	44176065	-1	GO:0005575	cellular_component	EPPIN-WFDC6
ENSG00000249139	44165625	44176065	-1	GO:0005623	cell	EPPIN-WFDC6
ENSG00000249139	44165625	44176065	-1	GO:0005576	extracellular region	EPPIN-WFDC6
ENSG00000249139	44165625	44176065	-1	GO:0030234	enzyme regulator activity	EPPIN-WFDC6
ENSG00000249139	44165625	44176065	-1	GO:0003674	molecular_function	EPPIN-WFDC6
ENSG00000249139	44165625	44176065	-1	GO:0008150	biological_process	EPPIN-WFDC6
ENSG00000249139	44165625	44176065	-1	GO:0006950	response to stress	EPPIN-WFDC6
ENSG00000158901	44179792	44207965	-1	GO:0030234	enzyme regulator activity	WFDC8
ENSG00000158901	44179792	44207965	-1	GO:0005576	extracellular region	WFDC8
ENSG00000158901	44179792	44207965	-1	GO:0005575	cellular_component	WFDC8
ENSG00000158901	44179792	44207965	-1	GO:0003674	molecular_function	WFDC8
ENSG00000158901	44179792	44207965	-1	GO:0003674	molecular_function	WFDC8
ENSG00000158901	44179792	44207965	-1	GO:0005575	cellular_component	WFDC8
ENSG00000158901	44179792	44207965	-1	GO:0030234	enzyme regulator activity	WFDC8
ENSG00000158901	44179792	44207965	-1	GO:0005576	extracellular region	WFDC8
ENSG00000180205	44236578	44259907	-1	GO:0005575	cellular_component	WFDC9
ENSG00000180205	44236578	44259907	-1	GO:0005576	extracellular region	WFDC9
ENSG00000101138	54967427	54979518	1	GO:0003674	molecular_function	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0003723	RNA binding	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0003674	molecular_function	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0008150	biological_process	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0034641	cellular nitrogen compound metabolic process	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0006397	mRNA processing	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0009058	biosynthetic process	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0005623	cell	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0005654	nucleoplasm	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0043226	organelle	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0005634	nucleus	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0005622	intracellular	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0005575	cellular_component	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0003674	molecular_function	CSTF1
ENSG00000101138	54967427	54979518	1	GO:0003674	molecular_function	CSTF1
ENSG00000180305	44258165	44259835	1	GO:0005575	cellular_component	WFDC10A
ENSG00000180305	44258165	44259835	1	GO:0030234	enzyme regulator activity	WFDC10A
ENSG00000180305	44258165	44259835	1	GO:0005576	extracellular region	WFDC10A
ENSG00000180305	44258165	44259835	1	GO:0003674	molecular_function	WFDC10A
ENSG00000180083	44277202	44298909	-1	GO:0005576	extracellular region	WFDC11
ENSG00000180083	44277202	44298909	-1	GO:0005575	cellular_component	WFDC11
ENSG00000180083	44277202	44298909	-1	GO:0005576	extracellular region	WFDC11
ENSG00000180083	44277202	44298909	-1	GO:0005575	cellular_component	WFDC11
ENSG00000182931	44313292	44333658	-1	GO:0005575	cellular_component	WFDC10B
ENSG00000182931	44313292	44333658	-1	GO:0005576	extracellular region	WFDC10B
ENSG00000182931	44313292	44333658	-1	GO:0030234	enzyme regulator activity	WFDC10B
ENSG00000182931	44313292	44333658	-1	GO:0003674	molecular_function	WFDC10B
ENSG00000182931	44313292	44333658	-1	GO:0003674	molecular_function	WFDC10B
ENSG00000182931	44313292	44333658	-1	GO:0030234	enzyme regulator activity	WFDC10B
ENSG00000182931	44313292	44333658	-1	GO:0005576	extracellular region	WFDC10B
ENSG00000182931	44313292	44333658	-1	GO:0005575	cellular_component	WFDC10B
ENSG00000168634	44330655	44337456	1	GO:0005575	cellular_component	WFDC13
ENSG00000168634	44330655	44337456	1	GO:0005576	extracellular region	WFDC13
ENSG00000168634	44330655	44337456	1	GO:0030234	enzyme regulator activity	WFDC13
ENSG00000168634	44330655	44337456	1	GO:0003674	molecular_function	WFDC13
ENSG00000149651	44350990	44354469	1	GO:0003674	molecular_function	SPINT4
ENSG00000149651	44350990	44354469	1	GO:0030234	enzyme regulator activity	SPINT4
ENSG00000149651	44350990	44354469	1	GO:0005576	extracellular region	SPINT4
ENSG00000149651	44350990	44354469	1	GO:0005575	cellular_component	SPINT4
ENSG00000101365	2639041	2644865	-1	GO:0051186	cofactor metabolic process	IDH3B
ENSG00000101365	2639041	2644865	-1	GO:0008150	biological_process	IDH3B
