Chromosome1	ChromStartP1	ChromEndP1	Chromosome	ChromStartP2	ChromEndP2	Score
20	36236459.0	36270918.0	20	63981135.0	64033100.0	0.773
20	36236459.0	36270918.0	20	63981135.0	64033100.0	0.773
20	36236459.0	36270918.0	20	63981135.0	64033100.0	0.773
20	36236459.0	36270918.0	20	63981135.0	64033100.0	0.773
20	36236459.0	36270918.0	20	63981135.0	64033100.0	0.773
20	36236459.0	36270918.0	20	63981135.0	64033100.0	0.773
20	36236459.0	36270918.0	20	63981135.0	64033100.0	0.773
20	36236459.0	36270918.0	20	33358839.0	33401561.0	0.499
20	36236459.0	36270918.0	20	33358839.0	33401561.0	0.499
20	36236459.0	36270918.0	20	33358839.0	33401561.0	0.499
20	36236459.0	36270918.0	20	33358839.0	33401561.0	0.499
20	36236459.0	36270918.0	20	33358839.0	33401561.0	0.499
20	36236459.0	36270918.0	20	33358839.0	33401561.0	0.499
20	25006230.0	25058980.0	20	34872146.0	34927962.0	0.9059999999999999
20	25006230.0	25058980.0	20	34872146.0	34927962.0	0.9059999999999999
20	33666498.0	33668525.0	20	63488013.0	63499315.0	0.596
20	33666498.0	33668525.0	20	63488013.0	63499315.0	0.596
20	33666498.0	33668525.0	20	63488013.0	63499315.0	0.596
20	33666498.0	33668525.0	20	63488013.0	63499315.0	0.596
20	33666498.0	33668525.0	20	63488013.0	63499315.0	0.596
20	33666498.0	33668525.0	20			0.513
20	33666498.0	33668525.0	20			0.513
20	33666498.0	33668525.0	20			0.513
20	33666498.0	33668525.0	20			0.513
20	33666498.0	33668525.0	20	17569863.0	17609919.0	0.7709999999999999
20	33666498.0	33668525.0	20	34975403.0	35002437.0	0.512
20	33666498.0	33668525.0	20	34975403.0	35002437.0	0.512
20	33666498.0	33668525.0	20	34975403.0	35002437.0	0.512
20	33666498.0	33668525.0	20	34975403.0	35002437.0	0.512
20	33666498.0	33668525.0	20	34975403.0	35002437.0	0.512
20	33666498.0	33668525.0	20	59019254.0	59026654.0	0.584
20	33666498.0	33668525.0	20	59019254.0	59026654.0	0.584
20	33666498.0	33668525.0	20	59019254.0	59026654.0	0.584
20	33666498.0	33668525.0	20	59019254.0	59026654.0	0.584
20	33666498.0	33668525.0	20	59019254.0	59026654.0	0.584
20	33666498.0	33668525.0	20	59019254.0	59026654.0	0.584
20	33666498.0	33668525.0	20	59019254.0	59026654.0	0.584
20	33666498.0	33668525.0	20	59019254.0	59026654.0	0.584
20	33666498.0	33668525.0	20	31475293.0	31484905.0	0.41600000000000004
20	33666498.0	33668525.0	20	31475293.0	31484905.0	0.41600000000000004
20	33666498.0	33668525.0	20	31475293.0	31484905.0	0.41600000000000004
